mission,id,name,disposition,period_days,radius_re,snr
Kepler,3114661,,FALSE POSITIVE,0.444291966,27.51,299.7
Kepler,3115833,,CANDIDATE,10.181584004,7.73,183.6
Kepler,4139816,Kepler-235 d,CONFIRMED,20.06036336,1.96,35.2
Kepler,4139816,Kepler-235 e,CONFIRMED,46.1842039,1.83,26
Kepler,8395660,Kepler-106 d,CONFIRMED,23.9800854,1.31,17.1
Kepler,4139816,Kepler-235 c,CONFIRMED,7.82502168,1.2,15.9
Kepler,4275191,Kepler-688 b,CONFIRMED,3.895936525,7.34,370.8
Kepler,4476123,Kepler-689 b,CONFIRMED,22.36646466,2.32,32.1
Kepler,3351888,Kepler-685 b,CONFIRMED,1.625522174,9.73,799.7
Kepler,3453214,,CANDIDATE,19.620346923,13.6,340.5
Kepler,3554600,,FALSE POSITIVE,7.544039,17.47,14.2
Kepler,3641726,Kepler-1727 b,CONFIRMED,9.02930689,2.57,53.9
Kepler,3734868,,FALSE POSITIVE,10.328035714,13.28,636.8
Kepler,3832474,Kepler-30 d,CONFIRMED,143.2063047,8.9,138.8
Kepler,8395660,Kepler-106 b,CONFIRMED,6.164876,0.79,14.4
Kepler,3832474,Kepler-30 c,CONFIRMED,60.32494216,12.19,347.2
Kepler,3832474,Kepler-30 b,CONFIRMED,29.1598615,1.91,11.6
Kepler,3836375,,FALSE POSITIVE,1.540397253,25.69,38.8
Kepler,3838486,,FALSE POSITIVE,2.99025443,1.7,48.5
Kepler,3935914,Kepler-686 b,CONFIRMED,1.594745374,11.3,1009.3
Kepler,3940418,Kepler-1728 b,CONFIRMED,4.783002698,2.5,70.6
Kepler,4049131,Kepler-687 b,CONFIRMED,20.50588921,3.41,78.5
Kepler,4139816,Kepler-235 b,CONFIRMED,3.340218842,2.03,71.6
Kepler,5287983,,FALSE POSITIVE,2.507089906,30.26,64.9
Kepler,5358241,Kepler-53 b,CONFIRMED,18.64932728,3.12,46.1
Kepler,10875245,Kepler-107 c,CONFIRMED,4.90144976,1.7,50.6
Kepler,5358241,Kepler-53 d,CONFIRMED,9.75192101,2.76,28.5
Kepler,5358241,Kepler-53 c,CONFIRMED,38.5576546,4.02,39.7
Kepler,5358624,Kepler-428 b,CONFIRMED,3.525632539,11.58,1996.7
Kepler,4544670,,CANDIDATE,34.84398644,7.61,76.8
Kepler,4664847,Kepler-690 b,CONFIRMED,7.748094239,5.52,113.2
Kepler,4725681,Kepler-236 c,CONFIRMED,23.96793669,1.8,27.5
Kepler,4725681,Kepler-236 b,CONFIRMED,8.29561738,1.82,17.9
Kepler,4913852,Kepler-691 b,CONFIRMED,8.11437482,2.1,56.4
Kepler,4932348,,FALSE POSITIVE,38.036729482,27.5,1300
Kepler,4936180,,CANDIDATE,4.64090031,30.09,296.9
Kepler,11913073,,FALSE POSITIVE,3.747838198,13.65,138.2
Kepler,10875245,Kepler-107 e,CONFIRMED,14.74914825,2.89,107.4
Kepler,5021899,Kepler-692 b,CONFIRMED,21.81295996,3.38,37.8
Kepler,5077629,,FALSE POSITIVE,7.91936937,10.34,389
Kepler,5115978,,CANDIDATE,1.028436523,72.77,89.6
Kepler,5164255,Kepler-693 b,CONFIRMED,15.37562369,11.01,166
Kepler,5252423,Kepler-237 c,CONFIRMED,8.10363271,2.11,39.3
Kepler,5252423,Kepler-237 b,CONFIRMED,4.71510843,1.46,21.3
Kepler,5272878,Kepler-694 b,CONFIRMED,6.365839713,2.44,70.8
Kepler,5283542,,FALSE POSITIVE,5.97581754,3.86,50.3
Kepler,5649215,,FALSE POSITIVE,2.446737317,26.25,110.2
Kepler,5651104,Kepler-695 b,CONFIRMED,3.04033046,8.99,568.2
Kepler,5792202,Kepler-27 b,CONFIRMED,15.33528675,5,86.6
Kepler,10875245,Kepler-107 d,CONFIRMED,7.95825328,1.06,14.7
Kepler,5792202,Kepler-27 c,CONFIRMED,31.33046135,6.5,117.2
Kepler,5370302,,FALSE POSITIVE,3.9043425,12.28,323.4
Kepler,5372966,,FALSE POSITIVE,9.286358079,17.61,1671.1
Kepler,5376067,,FALSE POSITIVE,3.951405455,31.44,117.2
Kepler,5436502,Kepler-238 e,CONFIRMED,23.65369415,7.89,266.3
Kepler,5436502,Kepler-238 d,CONFIRMED,13.23352214,3.06,49.1
Kepler,5436502,Kepler-238 c,CONFIRMED,6.15560285,2.32,35.1
Kepler,5436502,Kepler-238 b,CONFIRMED,2.090811305,1.62,19.9
Kepler,10875245,Kepler-107 b,CONFIRMED,3.180027898,1.53,50.4
Kepler,5436502,Kepler-238 f,CONFIRMED,50.4467417,2.67,19.4
Kepler,5456651,Kepler-239 b,CONFIRMED,11.76307164,2.35,48.9
Kepler,5456651,Kepler-239 c,CONFIRMED,56.2279271,2.37,20.9
Kepler,5481416,,FALSE POSITIVE,2.384052875,17.06,50.5
Kepler,5531576,Kepler-240 c,CONFIRMED,7.953547,2.25,38.4
Kepler,5531576,Kepler-240 b,CONFIRMED,4.14451656,1.48,22.8
Kepler,5534814,,FALSE POSITIVE,4.859386384,38.33,269.7
Kepler,6291653,Kepler-702 b,CONFIRMED,10.526294577,8.24,482.3
Kepler,6392727,Kepler-703 b,CONFIRMED,4.583520948,5.39,99.5
Kepler,6422070,Kepler-704 b,CONFIRMED,3.76181843,2.66,35.9
Kepler,6428700,Kepler-242 b,CONFIRMED,8.20396958,3.01,54.4
Kepler,6428700,Kepler-242 c,CONFIRMED,14.49645186,3.01,25.7
Kepler,5792202,Kepler-27 d,CONFIRMED,6.54626149,2.19,24.8
Kepler,5794379,Kepler-241 b,CONFIRMED,12.71809866,2.31,52.7
Kepler,5794379,Kepler-241 c,CONFIRMED,36.06588163,2.64,51.7
Kepler,5881688,Kepler-696 b,CONFIRMED,4.190425659,6.21,240.6
Kepler,6022556,Kepler-697 b,CONFIRMED,3.709870784,4.35,116.1
Kepler,6032497,Kepler-698 b,CONFIRMED,16.3297527,3.75,74.6
Kepler,6061119,Kepler-699 b,CONFIRMED,27.807566216,13.84,748.1
Kepler,6191521,Kepler-700 b,CONFIRMED,80.8723469,7.59,160.9
Kepler,6267425,,FALSE POSITIVE,3.166465862,26.82,122.1
Kepler,3531558,Kepler-467 b,CONFIRMED,24.99324319,2.29,62
Kepler,6276477,Kepler-701 b,CONFIRMED,10.35533116,2.47,49.2
Kepler,6863998,Kepler-709 b,CONFIRMED,16.08518937,3.68,62.6
Kepler,6867155,,CANDIDATE,235.9986399,10.59,271.8
Kepler,6948054,Kepler-245 b,CONFIRMED,7.49018305,2.56,53
Kepler,6948054,Kepler-245 d,CONFIRMED,36.2761238,3.03,45.5
Kepler,6948054,Kepler-245 c,CONFIRMED,17.46087931,2.32,22.6
Kepler,6435936,Kepler-705 b,CONFIRMED,56.0560754,1.94,27.4
Kepler,6522242,Kepler-706 b,CONFIRMED,41.408316686,11.38,907.8
Kepler,6526710,,CANDIDATE,39.74893077,14.21,561.1
Kepler,6587280,Kepler-243 b,CONFIRMED,5.715425977,2.47,59.4
Kepler,9471974,Kepler-108 b,CONFIRMED,49.18394185,8.2,355.7
Kepler,6587280,Kepler-243 c,CONFIRMED,20.0261412,2.28,10.7
